Sr No.,"Date of
Encashment",Name of the Political Party,"Account no. of
Political Party",Prefix,"Bond
Number",Denominations,"Pay Branch
Code",Pay Teller,MM,COM,OOO
1,12-Apr-2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,775,10000000.00,00800,2770121,OC775,#N/A,10000000.00
2,12-Apr-2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,3975,10000000.00,00800,2770121,OC3975,#N/A,10000000.00
3,12-Apr-2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,3967,10000000.00,00800,2770121,OC3967,#N/A,10000000.00
4,12-Apr-2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10418,1000000.00,00800,2770121,TL10418,#N/A,1000000.00
33,12-Apr-2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10469,1000000.00,00800,2770121,TL10469,#N/A,1000000.00
34,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,6646,10000000.00,00847,3367975,OC6646,#N/A,10000000.00
35,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,6644,10000000.00,00847,3367975,OC6644,#N/A,10000000.00
36,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5470,10000000.00,00847,3367975,OC5470,#N/A,10000000.00
37,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5455,10000000.00,00847,3367975,OC5455,#N/A,10000000.00
38,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5467,10000000.00,00847,3367975,OC5467,#N/A,10000000.00
39,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5460,10000000.00,00847,3367975,OC5460,#N/A,10000000.00
40,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5463,10000000.00,00847,3367975,OC5463,#N/A,10000000.00
41,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5451,10000000.00,00847,3367975,OC5451,#N/A,10000000.00
42,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5458,10000000.00,00847,3367975,OC5458,#N/A,10000000.00
43,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5454,10000000.00,00847,3367975,OC5454,#N/A,10000000.00
44,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5474,10000000.00,00847,3367975,OC5474,#N/A,10000000.00
45,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5459,10000000.00,00847,3367975,OC5459,#N/A,10000000.00
46,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5475,10000000.00,00847,3367975,OC5475,#N/A,10000000.00
47,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5464,10000000.00,00847,3367975,OC5464,#N/A,10000000.00
48,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5453,10000000.00,00847,3367975,OC5453,#N/A,10000000.00
49,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5472,10000000.00,00847,3367975,OC5472,#N/A,10000000.00
50,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5471,10000000.00,00847,3367975,OC5471,#N/A,10000000.00
51,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5468,10000000.00,00847,3367975,OC5468,#N/A,10000000.00
52,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5450,10000000.00,00847,3367975,OC5450,#N/A,10000000.00
53,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5462,10000000.00,00847,3367975,OC5462,#N/A,10000000.00
54,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5457,10000000.00,00847,3367975,OC5457,#N/A,10000000.00
55,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5466,10000000.00,00847,3367975,OC5466,#N/A,10000000.00
56,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,TL,10876,1000000.00,00847,3367975,TL10876,#N/A,1000000.00
57,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,TL,10877,1000000.00,00847,3367975,TL10877,#N/A,1000000.00
58,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,TL,10885,1000000.00,00847,3367975,TL10885,#N/A,1000000.00
59,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,TL,10856,1000000.00,00847,3367975,TL10856,#N/A,1000000.00
60,12-Apr-2019,BHARAT RASHTRA SAMITHI,*******7477,TL,10870,1000000.00,00847,3367975,TL10870,#N/A,1000000.00
61,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4274,10000000.00,00691,3627829,OC4274,#N/A,10000000.00
62,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4276,10000000.00,00691,3627829,OC4276,#N/A,10000000.00
63,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5827,10000000.00,00691,3627829,OC5827,#N/A,10000000.00
64,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5847,10000000.00,00691,3627829,OC5847,#N/A,10000000.00
65,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4303,10000000.00,00691,3627829,OC4303,#N/A,10000000.00
66,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,4301,10000000.00,00691,3627829,OC4301,#N/A,10000000.00
67,12-Apr-2019,BHARATIYA JANATA PARTY,*******8244,OC,5831,10000000.00,00691,3627829,OC5831,#N/A,10000000.00
